Velocity (m/s),Braking Capability (g)
4,"[-1.43912584  1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.        ]"
5,"[-1.43912584 -1.44812626  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.        ]"
6,"[-1.43912584 -1.44812626 -1.45910904  1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.        ]"
7,"[-1.43912584 -1.44812626 -1.45910904 -1.47210339  1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.        ]"
8,"[-1.43912584 -1.44812626 -1.45910904 -1.47210339 -1.48708634  1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.        ]"
9,"[-1.43912584 -1.44812626 -1.45910904 -1.47210339 -1.48708634 -1.50404865
  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.        ]"
10,"[-1.43912584 -1.44812626 -1.45910904 -1.47210339 -1.48708634 -1.50404865
 -1.52301282  1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.        ]"
11,"[-1.43912584 -1.44812626 -1.45910904 -1.47210339 -1.48708634 -1.50404865
 -1.52301282 -1.54395143  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.        ]"
12,"[-1.43912584 -1.44812626 -1.45910904 -1.47210339 -1.48708634 -1.50404865
 -1.52301282 -1.54395143 -1.56689251  1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.        ]"
13,"[-1.43912584 -1.44812626 -1.45910904 -1.47210339 -1.48708634 -1.50404865
 -1.52301282 -1.54395143 -1.56689251 -1.59179251  1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.        ]"
14,"[-1.43912584 -1.44812626 -1.45910904 -1.47210339 -1.48708634 -1.50404865
 -1.52301282 -1.54395143 -1.56689251 -1.59179251 -1.61868753  1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.        ]"
15,"[-1.43912584 -1.44812626 -1.45910904 -1.47210339 -1.48708634 -1.50404865
 -1.52301282 -1.54395143 -1.56689251 -1.59179251 -1.61868753 -1.64753864
  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.        ]"
16,"[-1.43912584 -1.44812626 -1.45910904 -1.47210339 -1.48708634 -1.50404865
 -1.52301282 -1.54395143 -1.56689251 -1.59179251 -1.61868753 -1.64753864
 -1.67837171  1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.        ]"
17,"[-1.43912584 -1.44812626 -1.45910904 -1.47210339 -1.48708634 -1.50404865
 -1.52301282 -1.54395143 -1.56689251 -1.59179251 -1.61868753 -1.64753864
 -1.67837171 -1.7111576   1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.        ]"
18,"[-1.43912584 -1.44812626 -1.45910904 -1.47210339 -1.48708634 -1.50404865
 -1.52301282 -1.54395143 -1.56689251 -1.59179251 -1.61868753 -1.64753864
 -1.67837171 -1.7111576  -1.74591255  1.          1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.        ]"
19,"[-1.43912584 -1.44812626 -1.45910904 -1.47210339 -1.48708634 -1.50404865
 -1.52301282 -1.54395143 -1.56689251 -1.59179251 -1.61868753 -1.64753864
 -1.67837171 -1.7111576  -1.74591255 -1.78261569  1.          1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.        ]"
20,"[-1.43912584 -1.44812626 -1.45910904 -1.47210339 -1.48708634 -1.50404865
 -1.52301282 -1.54395143 -1.56689251 -1.59179251 -1.61868753 -1.64753864
 -1.67837171 -1.7111576  -1.74591255 -1.78261569 -1.8212999   1.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.        ]"
21,"[-1.43912584 -1.44812626 -1.45910904 -1.47210339 -1.48708634 -1.50404865
 -1.52301282 -1.54395143 -1.56689251 -1.59179251 -1.61868753 -1.64753864
 -1.67837171 -1.7111576  -1.74591255 -1.78261569 -1.8212999  -1.86189581
  1.          1.          1.          1.          1.          1.
  1.          1.          1.        ]"
22,"[-1.43912584 -1.44812626 -1.45910904 -1.47210339 -1.48708634 -1.50404865
 -1.52301282 -1.54395143 -1.56689251 -1.59179251 -1.61868753 -1.64753864
 -1.67837171 -1.7111576  -1.74591255 -1.78261569 -1.8212999  -1.86189581
 -1.90446885  1.          1.          1.          1.          1.
  1.          1.          1.        ]"
23,"[-1.43912584 -1.44812626 -1.45910904 -1.47210339 -1.48708634 -1.50404865
 -1.52301282 -1.54395143 -1.56689251 -1.59179251 -1.61868753 -1.64753864
 -1.67837171 -1.7111576  -1.74591255 -1.78261569 -1.8212999  -1.86189581
 -1.90446885 -1.94896938  1.          1.          1.          1.
  1.          1.          1.        ]"
24,"[-1.43912584 -1.44812626 -1.45910904 -1.47210339 -1.48708634 -1.50404865
 -1.52301282 -1.54395143 -1.56689251 -1.59179251 -1.61868753 -1.64753864
 -1.67837171 -1.7111576  -1.74591255 -1.78261569 -1.8212999  -1.86189581
 -1.90446885 -1.94896938 -1.99540167  1.          1.          1.
  1.          1.          1.        ]"
25,"[-1.43912584 -1.44812626 -1.45910904 -1.47210339 -1.48708634 -1.50404865
 -1.52301282 -1.54395143 -1.56689251 -1.59179251 -1.61868753 -1.64753864
 -1.67837171 -1.7111576  -1.74591255 -1.78261569 -1.8212999  -1.86189581
 -1.90446885 -1.94896938 -1.99540167 -2.04373796  1.          1.
  1.          1.          1.        ]"
26,"[-1.43912584 -1.44812626 -1.45910904 -1.47210339 -1.48708634 -1.50404865
 -1.52301282 -1.54395143 -1.56689251 -1.59179251 -1.61868753 -1.64753864
 -1.67837171 -1.7111576  -1.74591255 -1.78261569 -1.8212999  -1.86189581
 -1.90446885 -1.94896938 -1.99540167 -2.04373796 -2.09406119  1.
  1.          1.          1.        ]"
27,"[-1.43912584 -1.44812626 -1.45910904 -1.47210339 -1.48708634 -1.50404865
 -1.52301282 -1.54395143 -1.56689251 -1.59179251 -1.61868753 -1.64753864
 -1.67837171 -1.7111576  -1.74591255 -1.78261569 -1.8212999  -1.86189581
 -1.90446885 -1.94896938 -1.99540167 -2.04373796 -2.09406119 -2.14627813
  1.          1.          1.        ]"
28,"[-1.43912584 -1.44812626 -1.45910904 -1.47210339 -1.48708634 -1.50404865
 -1.52301282 -1.54395143 -1.56689251 -1.59179251 -1.61868753 -1.64753864
 -1.67837171 -1.7111576  -1.74591255 -1.78261569 -1.8212999  -1.86189581
 -1.90446885 -1.94896938 -1.99540167 -2.04373796 -2.09406119 -2.14627813
 -2.20039266  1.          1.        ]"
29,"[-1.43912584 -1.44812626 -1.45910904 -1.47210339 -1.48708634 -1.50404865
 -1.52301282 -1.54395143 -1.56689251 -1.59179251 -1.61868753 -1.64753864
 -1.67837171 -1.7111576  -1.74591255 -1.78261569 -1.8212999  -1.86189581
 -1.90446885 -1.94896938 -1.99540167 -2.04373796 -2.09406119 -2.14627813
 -2.20039266 -2.25648292  1.        ]"
30,"[-1.43912584 -1.44812626 -1.45910904 -1.47210339 -1.48708634 -1.50404865
 -1.52301282 -1.54395143 -1.56689251 -1.59179251 -1.61868753 -1.64753864
 -1.67837171 -1.7111576  -1.74591255 -1.78261569 -1.8212999  -1.86189581
 -1.90446885 -1.94896938 -1.99540167 -2.04373796 -2.09406119 -2.14627813
 -2.20039266 -2.25648292 -2.31446346]"
